URL,LastUpdated,AsOf,Negative,UnderInvestigation,PresumptivePositive,ConfirmedPositive,Cases,Resolved,Deceased,TotalTested,PreviousDayTests,TotalTests,Male,Female,19andunder,20to64,65andover,20to39,40to59,60to79,80andover,Hospitalized,ICU,Ventilator
https://web.archive.org/web/20200218164823/https://www.ontario.ca/page/2019-novel-coronavirus,2020-02-18 10:30:00,,418,0,0,2,,1,0,421,,,,,,,,,,,,,,
https://web.archive.org/web/20200220013359/https://www.ontario.ca/page/2019-novel-coronavirus,2020-02-19 10:30:00,,436,17,0,2,,1,0,456,,,,,,,,,,,,,,
https://web.archive.org/web/20200224213319/https://www.ontario.ca/page/2019-novel-coronavirus,2020-02-24 10:30:00,,540,9,0,1,,3,0,553,,,,,,,,,,,,,,
https://web.archive.org/web/20200226195010/https://www.ontario.ca/page/2019-novel-coronavirus,2020-02-26 10:30:00,,610,14,1,1,,3,0,629,,,,,,,,,,,,,,
https://web.archive.org/web/20200304134959/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-05 10:30:00,,1466,78,,18,,4,0,1566,,,,,,,,,,,,,,
https://web.archive.org/web/20200306180231/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-06 10:30:00,,1665,72,,22,,4,0,1763,,,,,,,,,,,,,,
https://web.archive.org/web/20200308003500/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-07 10:30:00,,1918,36,,24,,4,0,1982,,,,,,,,,,,,,,
https://web.archive.org/web/20200309155040/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-09 10:30:00,,2347,22,,30,,4,0,2403,,,,,,,,,,,,,,
https://web.archive.org/web/20200311140935/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-10 10:30:00,,2599,112,,31,,5,0,2747,,,,,,,,,,,,,,
https://web.archive.org/web/20200311173351/https://www.ontario.ca/page/2019-novel-coronavirus,2020-03-11 10:30:00,,2888,465,,36,,5,0,3394,,,,,,,,,,,,,,
